Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
47.369	1.0518e-006	90.	-1.5719e-015	1.0518e-006
48.119	1.0344e-006	90.	-1.6227e-015	1.0344e-006
48.881	1.0173e-006	90.	-1.6752e-015	1.0173e-006
49.655	1.0003e-006	90.	-1.7294e-015	1.0003e-006
50.441	9.8368e-007	90.	-1.7854e-015	9.8368e-007
51.24	9.6726e-007	90.	-1.8432e-015	9.6726e-007
52.051	9.5107e-007	90.	-1.9029e-015	9.5107e-007
52.876	9.3512e-007	90.	-1.9646e-015	9.3512e-007
53.713	9.194e-007	90.	-2.0283e-015	9.194e-007
54.564	9.039e-007	90.	-2.0941e-015	9.039e-007
55.428	8.8863e-007	90.	-2.1621e-015	8.8863e-007
56.305	8.7358e-007	90.	-2.2323e-015	8.7358e-007
57.197	8.5874e-007	90.	-2.3049e-015	8.5874e-007
58.103	8.4411e-007	90.	-2.3799e-015	8.4411e-007
59.023	8.2969e-007	90.	-2.4573e-015	8.2969e-007
59.957	8.1548e-007	90.	-2.5373e-015	8.1548e-007
60.907	8.0146e-007	90.	-2.62e-015	8.0146e-007
61.871	7.8765e-007	90.	-2.7054e-015	7.8765e-007
62.851	7.7402e-007	90.	-2.7937e-015	7.7402e-007
63.846	7.6059e-007	90.	-2.8849e-015	7.6059e-007
64.857	7.4734e-007	90.	-2.9792e-015	7.4734e-007
65.884	7.3427e-007	90.	-3.0767e-015	7.3427e-007
66.927	7.2139e-007	90.	-3.1774e-015	7.2139e-007
67.987	7.0868e-007	90.	-3.2814e-015	7.0868e-007
69.064	6.9615e-007	90.	-3.389e-015	6.9615e-007
70.157	6.8379e-007	90.	-3.5002e-015	6.8379e-007
71.268	6.7159e-007	90.	-3.6152e-015	6.7159e-007
72.397	6.5956e-007	90.	-3.7341e-015	6.5956e-007
73.543	6.4769e-007	90.	-3.8569e-015	6.4769e-007
74.708	6.3598e-007	90.	-3.984e-015	6.3598e-007
75.891	6.2442e-007	90.	-4.1154e-015	6.2442e-007
77.093	6.1302e-007	90.	-4.2513e-015	6.1302e-007
78.313	6.0176e-007	90.	-4.3918e-015	6.0176e-007
79.553	5.9066e-007	90.	-4.5371e-015	5.9066e-007
80.813	5.7969e-007	90.	-4.6874e-015	5.7969e-007
82.093	5.6887e-007	90.	-4.8429e-015	5.6887e-007
83.393	5.5818e-007	90.	-5.0038e-015	5.5818e-007
84.713	5.4763e-007	90.	-5.1702e-015	5.4763e-007
86.055	5.3722e-007	90.	-5.3424e-015	5.3722e-007
87.417	5.2693e-007	90.	-5.5206e-015	5.2693e-007
88.802	5.1677e-007	90.	-5.7051e-015	5.1677e-007
90.208	5.0674e-007	90.	-5.896e-015	5.0674e-007
91.636	4.9682e-007	90.	-6.0936e-015	4.9682e-007
93.087	4.8703e-007	90.	-6.2982e-015	4.8703e-007
94.561	4.7735e-007	90.	-6.51e-015	4.7735e-007
96.059	4.6779e-007	90.	-6.7293e-015	4.6779e-007
97.58	4.5834e-007	90.	-6.9565e-015	4.5834e-007
99.125	4.49e-007	90.	-7.1918e-015	4.49e-007
100.69	4.3977e-007	90.	-7.4355e-015	4.3977e-007
102.29	4.3063e-007	90.	-7.6881e-015	4.3063e-007
103.91	4.2161e-007	90.	-7.9498e-015	4.2161e-007
105.55	4.1268e-007	90.	-8.2211e-015	4.1268e-007
107.23	4.0384e-007	90.	-8.5022e-015	4.0384e-007
108.92	3.951e-007	90.	-8.7937e-015	3.951e-007
110.65	3.8646e-007	90.	-9.096e-015	3.8646e-007
112.4	3.779e-007	90.	-9.4096e-015	3.779e-007
114.18	3.6943e-007	90.	-9.7348e-015	3.6943e-007
115.99	3.6104e-007	90.	-1.0072e-014	3.6104e-007
117.83	3.5274e-007	90.	-1.0421e-014	3.5274e-007
119.69	3.4451e-007	90.	-1.0786e-014	3.4451e-007
121.59	3.3636e-007	90.	-1.1164e-014	3.3636e-007
123.51	3.2829e-007	90.	-1.1556e-014	3.2829e-007
125.47	3.2028e-007	90.	-1.1963e-014	3.2028e-007
127.45	3.1235e-007	90.	-1.2387e-014	3.1235e-007
129.47	3.0449e-007	90.	-1.2827e-014	3.0449e-007
131.52	2.9668e-007	90.	-1.3285e-014	2.9668e-007
133.61	2.8894e-007	90.	-1.3761e-014	2.8894e-007
135.72	2.8126e-007	90.	-1.4256e-014	2.8126e-007
137.87	2.7364e-007	90.	-1.4772e-014	2.7364e-007
140.05	2.6607e-007	90.	-1.531e-014	2.6607e-007
142.27	2.5855e-007	90.	-1.587e-014	2.5855e-007
144.52	2.5107e-007	90.	-1.6453e-014	2.5107e-007
146.81	2.4365e-007	90.	-1.7062e-014	2.4365e-007
149.14	2.3626e-007	90.	-1.7697e-014	2.3626e-007
151.5	2.2892e-007	90.	-1.8361e-014	2.2892e-007
153.9	2.2161e-007	90.	-1.9054e-014	2.2161e-007
156.33	2.1433e-007	90.	-1.9779e-014	2.1433e-007
158.81	2.0708e-007	90.	-2.0538e-014	2.0708e-007
161.32	1.9986e-007	90.	-2.1332e-014	1.9986e-007
163.88	1.9266e-007	90.	-2.2165e-014	1.9266e-007
166.47	1.8548e-007	90.	-2.3039e-014	1.8548e-007
169.11	1.7831e-007	90.	-2.3958e-014	1.7831e-007
171.79	1.7115e-007	90.	-2.4923e-014	1.7115e-007
174.51	1.64e-007	90.	-2.594e-014	1.64e-007
177.27	1.5684e-007	90.	-2.7013e-014	1.5684e-007
180.08	1.4968e-007	90.	-2.8146e-014	1.4968e-007
182.93	1.4251e-007	90.	-2.9346e-014	1.4251e-007
185.83	1.3533e-007	90.	-3.0618e-014	1.3533e-007
188.77	1.2812e-007	90.	-3.197e-014	1.2812e-007
191.76	1.2087e-007	90.	-3.3412e-014	1.2087e-007
194.8	1.1359e-007	90.	-3.4953e-014	1.1359e-007
197.88	1.0625e-007	90.	-3.6607e-014	1.0625e-007
201.01	9.8855e-008	90.	-3.8389e-014	9.8855e-008
204.2	9.1384e-008	90.	-4.0317e-014	9.1384e-008
207.43	8.3822e-008	90.	-4.2416e-014	8.3822e-008
210.72	7.6154e-008	90.	-4.4716e-014	7.6154e-008
