Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
46.631	4.5601e-007	31.773	3.8767e-007	2.4012e-007
47.369	5.5327e-007	42.422	4.0842e-007	3.7323e-007
48.119	6.7181e-007	49.52	4.3613e-007	5.11e-007
48.881	8.0816e-007	54.226	4.7244e-007	6.5569e-007
49.655	9.6231e-007	57.31	5.1974e-007	8.0988e-007
50.441	1.1367e-006	59.23	5.815e-007	9.7665e-007
51.24	1.3358e-006	60.244	6.6296e-007	1.1597e-006
52.051	1.5668e-006	60.474	7.7217e-007	1.3634e-006
52.876	1.8405e-006	59.937	9.2199e-007	1.5929e-006
53.713	2.173e-006	58.54	1.1341e-006	1.8536e-006
54.564	2.5901e-006	56.037	1.447e-006	2.1482e-006
55.428	3.135e-006	51.879	1.9353e-006	2.4663e-006
56.305	3.8833e-006	44.781	2.7564e-006	2.7354e-006
57.197	4.9492e-006	31.007	4.242e-006	2.5496e-006
58.103	5.793e-006	-3.8687	5.7798e-006	-3.9086e-007
59.023	8.7168e-007	-55.523	4.9343e-007	-7.1858e-007
59.957	3.9045e-006	55.122	2.2327e-006	3.2031e-006
60.907	6.4233e-006	26.354	5.7557e-006	2.8514e-006
61.871	7.2716e-006	-1.8428	7.2679e-006	-2.3383e-007
62.851	6.6538e-006	-24.463	6.0565e-006	-2.7554e-006
63.846	5.6045e-006	-39.663	4.3144e-006	-3.5771e-006
64.857	4.6726e-006	-49.448	3.0378e-006	-3.5503e-006
65.884	3.9437e-006	-55.885	2.2118e-006	-3.265e-006
66.927	3.3818e-006	-60.256	1.6778e-006	-2.9362e-006
67.987	2.9418e-006	-63.292	1.3222e-006	-2.6279e-006
69.064	2.5892e-006	-65.413	1.0773e-006	-2.3545e-006
70.157	2.3002e-006	-66.87	9.0356e-007	-2.1153e-006
71.268	2.0581e-006	-67.81	7.7729e-007	-1.9056e-006
72.397	1.8514e-006	-68.323	6.8386e-007	-1.7204e-006
73.543	1.6719e-006	-68.453	6.1402e-007	-1.555e-006
74.708	1.5136e-006	-68.216	5.6172e-007	-1.4055e-006
75.891	1.3722e-006	-67.598	5.2297e-007	-1.2687e-006
77.093	1.2445e-006	-66.556	4.9513e-007	-1.1418e-006
78.313	1.1282e-006	-65.017	4.7648e-007	-1.0226e-006
79.553	1.0217e-006	-62.863	4.66e-007	-9.0919e-007
