Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
45.904	1.2247e-007	-132.09	-8.2098e-008	-9.0879e-008
46.631	1.2525e-007	-133.62	-8.6417e-008	-9.0669e-008
47.369	1.2894e-007	-135.25	-9.1563e-008	-9.0779e-008
48.119	1.3363e-007	-136.98	-9.7697e-008	-9.1174e-008
48.881	1.395e-007	-138.84	-1.0503e-007	-9.1814e-008
49.655	1.4677e-007	-140.87	-1.1385e-007	-9.2636e-008
50.441	1.5576e-007	-143.09	-1.2453e-007	-9.3546e-008
51.24	1.6688e-007	-145.56	-1.3763e-007	-9.4381e-008
52.051	1.8079e-007	-148.36	-1.5391e-007	-9.485e-008
52.876	1.9839e-007	-151.58	-1.7449e-007	-9.4412e-008
53.713	2.2114e-007	-155.41	-2.0109e-007	-9.2003e-008
54.564	2.5135e-007	-160.14	-2.3641e-007	-8.5379e-008
55.428	2.9314e-007	-166.32	-2.8482e-007	-6.9316e-008
56.305	3.5425e-007	-175.19	-3.53e-007	-2.9705e-008
57.197	4.4928e-007	169.71	-4.4206e-007	8.0259e-008
58.103	5.5239e-007	134.74	-3.888e-007	3.924e-007
59.023	1.8404e-007	82.634	2.3596e-008	1.8252e-007
59.957	2.441e-007	172.69	-2.4211e-007	3.1047e-008
60.907	4.4438e-007	148.64	-3.7946e-007	2.3127e-007
61.871	5.1752e-007	119.92	-2.581e-007	4.4856e-007
62.851	4.8044e-007	95.773	-4.8329e-008	4.78e-007
63.846	4.095e-007	78.659	8.0524e-008	4.015e-007
64.857	3.4583e-007	66.738	1.3658e-007	3.1771e-007
65.884	2.9643e-007	58.003	1.5707e-007	2.514e-007
66.927	2.5904e-007	51.196	1.6233e-007	2.0187e-007
67.987	2.3055e-007	45.592	1.6133e-007	1.647e-007
69.064	2.0853e-007	40.766	1.5794e-007	1.3616e-007
70.157	1.9129e-007	36.457	1.5385e-007	1.1367e-007
71.268	1.7766e-007	32.499	1.4983e-007	9.5453e-008
72.397	1.6683e-007	28.782	1.4622e-007	8.0322e-008
73.543	1.5823e-007	25.225	1.4314e-007	6.7434e-008
74.708	1.5147e-007	21.772	1.4067e-007	5.6185e-008
75.891	1.4627e-007	18.379	1.3881e-007	4.612e-008
77.093	1.4243e-007	15.009	1.3757e-007	3.6886e-008
78.313	1.3983e-007	11.631	1.3696e-007	2.819e-008
79.553	1.3838e-007	8.2139	1.3696e-007	1.9771e-008
80.813	1.3808e-007	4.7289	1.3761e-007	1.1383e-008
82.093	1.3893e-007	1.1433	1.389e-007	2.7722e-009
83.393	1.4101e-007	-2.58	1.4086e-007	-6.3472e-009
84.713	1.4443e-007	-6.486	1.4351e-007	-1.6315e-008
86.055	1.494e-007	-10.631	1.4684e-007	-2.7563e-008
87.417	1.5618e-007	-15.091	1.5079e-007	-4.0661e-008
88.802	1.6514e-007	-19.965	1.5522e-007	-5.6386e-008
90.208	1.768e-007	-25.393	1.5972e-007	-7.5818e-008
91.636	1.9183e-007	-31.575	1.6343e-007	-1.0044e-007
93.087	2.1102e-007	-38.797	1.6446e-007	-1.3222e-007
94.561	2.3514e-007	-47.472	1.5894e-007	-1.7328e-007
96.059	2.6423e-007	-58.16	1.394e-007	-2.2447e-007
97.58	2.9599e-007	-71.5	9.3916e-008	-2.8069e-007
99.125	3.2293e-007	-87.843	1.2153e-008	-3.227e-007
100.69	3.3271e-007	-106.47	-9.4337e-008	-3.1905e-007
102.29	3.1824e-007	-125.27	-1.8374e-007	-2.5984e-007
103.91	2.8689e-007	-142.	-2.2608e-007	-1.7661e-007
105.55	2.5172e-007	-155.8	-2.2961e-007	-1.0317e-007
107.23	2.2082e-007	-166.95	-2.1512e-007	-4.9875e-008
108.92	1.9712e-007	-176.09	-1.9666e-007	-1.344e-008
110.65	1.8238e-007	176.	-1.8193e-007	1.2737e-008
112.4	1.8471e-007	166.74	-1.7979e-007	4.2359e-008
114.18	1.4477e-007	131.59	-9.6104e-008	1.0828e-007
115.99	1.0432e-007	148.25	-8.8709e-008	5.4888e-008
117.83	1.0448e-007	147.81	-8.8414e-008	5.5663e-008
119.69	1.0314e-007	144.15	-8.36e-008	6.0401e-008
121.59	1.0211e-007	139.82	-7.8012e-008	6.5882e-008
123.51	1.0217e-007	135.21	-7.2512e-008	7.1977e-008
125.47	1.0375e-007	130.38	-6.7221e-008	7.9029e-008
127.45	1.0728e-007	125.27	-6.1944e-008	8.7591e-008
129.47	1.1336e-007	119.71	-5.6193e-008	9.8457e-008
131.52	1.2297e-007	113.46	-4.896e-008	1.128e-007
133.61	1.3771e-007	106.05	-3.8063e-008	1.3234e-007
135.72	1.6026e-007	96.589	-1.8388e-008	1.592e-007
137.87	1.9444e-007	83.355	2.2502e-008	1.9314e-007
140.05	2.4048e-007	63.105	1.0878e-007	2.1447e-007
142.27	2.7095e-007	33.042	2.2713e-007	1.4774e-007
144.52	2.3899e-007	0.63585	2.3897e-007	2.6521e-009
146.81	1.8061e-007	-22.82	1.6647e-007	-7.0049e-008
149.14	1.36e-007	-37.851	1.0738e-007	-8.3449e-008
151.5	1.0676e-007	-48.129	7.1258e-008	-7.9499e-008
153.9	8.7587e-008	-55.858	4.9157e-008	-7.2492e-008
156.33	7.4711e-008	-62.162	3.4888e-008	-6.6064e-008
158.81	6.595e-008	-67.647	2.5081e-008	-6.0995e-008
161.32	6.0072e-008	-72.698	1.7866e-008	-5.7354e-008
163.88	5.6405e-008	-77.648	1.2066e-008	-5.5099e-008
166.47	5.4638e-008	-83.052	6.6092e-009	-5.4237e-008
169.11	5.4098e-008	-91.098	-1.0366e-009	-5.4089e-008
171.79	4.3649e-008	-93.888	-2.9594e-009	-4.3549e-008
174.51	5.1603e-008	-91.274	-1.1473e-009	-5.1591e-008
177.27	5.9081e-008	-96.424	-6.6104e-009	-5.871e-008
180.08	6.9704e-008	-102.44	-1.5019e-008	-6.8067e-008
182.93	8.8058e-008	-110.04	-3.0181e-008	-8.2724e-008
185.83	1.2462e-007	-121.65	-6.5392e-008	-1.0609e-007
188.77	2.1014e-007	-146.46	-1.7515e-007	-1.1612e-007
191.76	2.8092e-007	150.62	-2.4478e-007	1.3783e-007
194.8	1.5932e-007	104.71	-4.0449e-008	1.541e-007
197.88	9.8904e-008	86.968	5.2318e-009	9.8766e-008
201.01	7.1717e-008	76.722	1.6472e-008	6.98e-008
204.2	5.7402e-008	68.929	2.0637e-008	5.3564e-008
207.43	4.9238e-008	62.103	2.3037e-008	4.3516e-008
210.72	4.4628e-008	55.658	2.5176e-008	3.6849e-008
214.05	4.2497e-008	49.298	2.7714e-008	3.2218e-008
217.44	4.253e-008	42.819	3.1196e-008	2.8907e-008
220.88	4.5023e-008	35.995	3.6427e-008	2.6461e-008
224.38	5.123e-008	28.428	4.5052e-008	2.4388e-008
227.94	6.4902e-008	19.083	6.1335e-008	2.1219e-008
231.54	9.905e-008	3.9212	9.8818e-008	6.7734e-009
235.21	2.3462e-007	-35.104	1.9195e-007	-1.3493e-007
238.94	1.3296e-007	-133.94	-9.2256e-008	-9.5746e-008
242.72	6.0402e-008	-156.18	-5.5259e-008	-2.439e-008
246.56	3.7644e-008	-166.93	-3.6669e-008	-8.5119e-009
250.47	2.7254e-008	-174.97	-2.7149e-008	-2.3916e-009
254.43	2.1684e-008	178.06	-2.1672e-008	7.3509e-010
258.46	1.8577e-008	171.61	-1.8378e-008	2.709e-009
262.55	1.7071e-008	165.49	-1.6526e-008	4.2763e-009
266.71	1.7006e-008	159.57	-1.5937e-008	5.9353e-009
270.94	1.9037e-008	153.73	-1.707e-008	8.4265e-009
275.23	2.6853e-008	147.47	-2.2639e-008	1.4442e-008
279.58	1.0324e-007	132.	-6.9084e-008	7.6717e-008
284.01	2.776e-008	-33.679	2.3101e-008	-1.5394e-008
288.51	9.3127e-009	-39.267	7.21e-009	-5.8943e-009
293.08	4.4958e-009	-41.109	3.3874e-009	-2.956e-009
297.72	2.3394e-009	-38.308	1.8357e-009	-1.4501e-009
302.43	9.4685e-010	-32.502	7.9855e-010	-5.0877e-010
307.22	1.0136e-009	44.655	7.2105e-010	7.1242e-010
312.09	1.164e-008	10.74	1.1436e-008	2.1692e-009
317.03	2.3374e-009	61.324	1.1216e-009	2.0508e-009
322.05	8.2318e-009	57.304	4.4467e-009	6.9274e-009
327.15	3.6439e-009	-16.076	3.5014e-009	-1.0091e-009
332.33	2.33e-007	-5.3441	2.3199e-007	-2.1701e-008
337.59	1.2112e-008	-132.68	-8.2113e-009	-8.9034e-009
342.94	8.3058e-009	174.75	-8.2709e-009	7.599e-010
348.37	1.3385e-009	-152.1	-1.1829e-009	-6.2638e-010
353.88	1.5788e-009	-154.9	-1.4297e-009	-6.6973e-010
359.49	1.566e-012	67.931	5.8839e-013	1.4513e-012
365.18	2.222e-009	-50.976	1.3991e-009	-1.7262e-009
370.96	1.221e-007	-45.751	8.52e-008	-8.7463e-008
376.84	1.7317e-008	166.79	-1.6859e-008	3.9586e-009
382.8	1.075e-008	128.98	-6.7618e-009	8.3567e-009
388.87	8.1071e-009	-177.21	-8.0975e-009	-3.9434e-010
395.02	1.816e-008	149.	-1.5567e-008	9.3531e-009
401.28	2.8143e-008	121.24	-1.4596e-008	2.4061e-008
407.63	5.5591e-008	96.041	-5.85e-009	5.5283e-008
414.09	1.2567e-007	-66.465	5.0181e-008	-1.1522e-007
