Freq(hertz)	Ze(ohms)	ZePhase(deg)
187.63  	6.22    	-3.07   
190.33  	6.24    	-1.76   
193.07  	6.28    	-0.40   
195.85  	6.34    	1.02    
198.67  	6.47    	2.40    
201.53  	6.68    	3.40    
204.44  	6.98    	3.03    
207.38  	7.17    	0.33    
210.37  	6.96    	-2.35   
213.40  	6.63    	-2.63   
216.47  	6.41    	-1.53   
219.59  	6.29    	-0.09   
222.75  	6.22    	1.33    
225.96  	6.18    	2.65    
229.22  	6.16    	3.89    
232.52  	6.15    	5.05    
235.87  	6.14    	6.14    
239.27  	6.14    	7.19    
242.71  	6.15    	8.20    
246.21  	6.16    	9.17    
249.76  	6.17    	10.12   
253.35  	6.18    	11.05   
257.00  	6.20    	11.95   
260.70  	6.22    	12.84   
264.46  	6.24    	13.71   
268.27  	6.26    	14.57   
272.13  	6.28    	15.42   
276.05  	6.30    	16.25   
280.03  	6.33    	17.08   
284.06  	6.35    	17.89   
288.16  	6.38    	18.70   
292.31  	6.41    	19.50   
296.52  	6.44    	20.29   
300.79  	6.47    	21.07   
305.12  	6.51    	21.85   
309.52  	6.54    	22.62   
313.97  	6.58    	23.38   
318.50  	6.61    	24.14   
323.08  	6.65    	24.89   
327.74  	6.69    	25.64   
332.46  	6.73    	26.38   
337.25  	6.78    	27.12   
342.11  	6.82    	27.85   
347.03  	6.87    	28.58   
352.03  	6.92    	29.30   
357.10  	6.97    	30.02   
362.25  	7.02    	30.73   
367.47  	7.08    	31.44   
372.76  	7.14    	32.13   
378.13  	7.20    	32.80   
383.58  	7.26    	33.44   
389.10  	7.32    	34.08   
394.71  	7.37    	34.79   
400.39  	7.43    	35.58   
406.16  	7.50    	36.45   
412.01  	7.58    	37.42   
417.94  	7.70    	38.60   
423.96  	7.88    	40.33   
430.07  	8.46    	44.84   
436.27  	6.54    	17.64   
442.55  	7.38    	34.97   
448.93  	7.60    	37.50   
455.39  	7.74    	38.84   
461.95  	7.84    	39.83   
468.61  	7.94    	40.67   
475.36  	8.03    	41.42   
482.20  	8.12    	42.12   
489.15  	8.20    	42.79   
496.19  	8.29    	43.44   
503.34  	8.37    	44.06   
510.59  	8.46    	44.67   
517.95  	8.55    	45.27   
525.41  	8.64    	45.85   
532.98  	8.73    	46.42   
540.65  	8.82    	46.98   
548.44  	8.92    	47.53   
556.34  	9.01    	48.07   
564.36  	9.11    	48.59   
572.48  	9.21    	49.10   
580.73  	9.30    	49.60   
589.10  	9.40    	50.11   
597.58  	9.50    	50.63   
606.19  	9.60    	51.15   
614.92  	9.70    	51.67   
623.78  	9.81    	52.18   
632.76  	9.92    	52.68   
641.88  	10.03   	53.17   
651.13  	10.15   	53.66   
660.50  	10.26   	54.14   
670.02  	10.38   	54.61   
679.67  	10.50   	55.08   
689.46  	10.63   	55.54   
699.39  	10.75   	56.00   
709.47  	10.88   	56.44   
719.69  	11.01   	56.88   
730.05  	11.15   	57.31   
740.57  	11.28   	57.72   
751.24  	11.42   	58.11   
762.06  	11.55   	58.50   
773.03  	11.69   	58.90   
784.17  	11.83   	59.33   
795.47  	11.97   	59.76   
806.92  	12.12   	60.18   
818.55  	12.27   	60.60   
830.34  	12.44   	61.02   
842.30  	12.62   	61.46   
854.43  	12.86   	62.07   
866.74  	12.68   	61.09   
879.22  	12.97   	61.98   
891.89  	13.13   	62.47   
904.74  	13.29   	62.95   
917.77  	13.46   	63.40   
930.99  	13.64   	63.81   
944.40  	13.82   	64.19   
958.00  	14.00   	64.56   
971.80  	14.18   	64.92   
985.80  	14.37   	65.26   
1000.00 	14.56   	65.61   
1014.40 	14.75   	65.94   
1029.02 	14.94   	66.28   
1043.84 	15.14   	66.61   
1058.88 	15.33   	66.94   
