Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
53.818	3.6334e-005	114.96	-1.533e-005	3.2941e-005
54.822	1.6588e-005	101.26	-3.2396e-006	1.6269e-005
55.845	1.0615e-005	97.283	-1.3458e-006	1.053e-005
56.888	7.7817e-006	95.413	-7.3405e-007	7.747e-006
57.95	6.132e-006	94.329	-4.6291e-007	6.1145e-006
59.032	5.053e-006	93.625	-3.1944e-007	5.0429e-006
60.133	4.2921e-006	93.13	-2.3438e-007	4.2857e-006
61.256	3.7266e-006	92.765	-1.798e-007	3.7223e-006
62.399	3.2896e-006	92.486	-1.4268e-007	3.2865e-006
63.564	2.9416e-006	92.265	-1.1627e-007	2.9393e-006
64.751	2.6578e-006	92.087	-9.6801e-008	2.656e-006
65.959	2.4217e-006	91.941	-8.2038e-008	2.4203e-006
67.191	2.2222e-006	91.82	-7.0572e-008	2.2211e-006
68.445	2.0513e-006	91.718	-6.1489e-008	2.0503e-006
69.723	1.9031e-006	91.631	-5.417e-008	1.9023e-006
71.024	1.7733e-006	91.557	-4.8187e-008	1.7726e-006
72.35	1.6586e-006	91.494	-4.3235e-008	1.658e-006
73.7	1.5564e-006	91.439	-3.909e-008	1.5559e-006
75.076	1.4648e-006	91.392	-3.559e-008	1.4644e-006
76.478	1.3821e-006	91.352	-3.2607e-008	1.3817e-006
77.905	1.307e-006	91.317	-3.0049e-008	1.3067e-006
79.359	1.2385e-006	91.288	-2.7839e-008	1.2382e-006
80.841	1.1757e-006	91.263	-2.592e-008	1.1754e-006
82.35	1.1179e-006	91.243	-2.4247e-008	1.1176e-006
83.887	1.0644e-006	91.226	-2.2781e-008	1.0642e-006
85.453	1.0148e-006	91.214	-2.1492e-008	1.0145e-006
87.048	9.685e-007	91.204	-2.0357e-008	9.6829e-007
88.673	9.2528e-007	91.199	-1.9356e-008	9.2508e-007
90.328	8.8476e-007	91.196	-1.8471e-008	8.8456e-007
92.014	8.4665e-007	91.197	-1.7689e-008	8.4647e-007
93.732	8.1072e-007	91.201	-1.6999e-008	8.1054e-007
95.482	7.7674e-007	91.209	-1.6391e-008	7.7657e-007
97.264	7.4453e-007	91.22	-1.5858e-008	7.4436e-007
99.08	7.1391e-007	91.236	-1.5393e-008	7.1374e-007
100.93	6.8474e-007	91.255	-1.4991e-008	6.8457e-007
102.81	6.5687e-007	91.278	-1.4648e-008	6.5671e-007
104.73	6.302e-007	91.306	-1.436e-008	6.3003e-007
106.69	6.046e-007	91.339	-1.4124e-008	6.0443e-007
108.68	5.7997e-007	91.377	-1.394e-008	5.798e-007
110.71	5.5623e-007	91.422	-1.3805e-008	5.5606e-007
112.77	5.3328e-007	91.474	-1.372e-008	5.331e-007
114.88	5.1104e-007	91.534	-1.3685e-008	5.1086e-007
117.02	4.8945e-007	91.604	-1.3701e-008	4.8926e-007
119.21	4.6842e-007	91.685	-1.377e-008	4.6822e-007
121.43	4.4788e-007	91.778	-1.3895e-008	4.4767e-007
123.7	4.2777e-007	91.886	-1.4081e-008	4.2754e-007
126.01	4.0802e-007	92.013	-1.4333e-008	4.0777e-007
128.36	3.8856e-007	92.162	-1.4658e-008	3.8829e-007
130.76	3.6932e-007	92.338	-1.5064e-008	3.6901e-007
133.2	3.5022e-007	92.547	-1.5563e-008	3.4987e-007
135.68	3.3119e-007	92.798	-1.6169e-008	3.3079e-007
138.22	3.1213e-007	93.104	-1.6901e-008	3.1168e-007
140.8	2.9297e-007	93.48	-1.7781e-008	2.9243e-007
143.43	2.7359e-007	93.949	-1.8841e-008	2.7294e-007
146.1	2.5387e-007	94.545	-2.0119e-008	2.5307e-007
148.83	2.3367e-007	95.32	-2.1668e-008	2.3267e-007
151.61	2.1285e-007	96.354	-2.3557e-008	2.1154e-007
154.44	1.9122e-007	97.779	-2.5883e-008	1.8946e-007
157.32	1.686e-007	99.828	-2.8778e-008	1.6613e-007
160.26	1.4484e-007	102.94	-3.2433e-008	1.4116e-007
163.25	1.1993e-007	108.03	-3.7125e-008	1.1404e-007
166.3	9.4584e-008	117.23	-4.3274e-008	8.4104e-008
169.4	7.2078e-008	135.64	-5.1534e-008	5.0393e-008
172.56	6.4031e-008	169.59	-6.2978e-008	1.1569e-008
175.78	8.6539e-008	-156.63	-7.9441e-008	-3.4322e-008
179.07	1.3786e-007	-139.15	-1.0428e-007	-9.0174e-008
182.41	2.1551e-007	-131.96	-1.441e-007	-1.6026e-007
185.81	3.287e-007	-130.4	-2.1304e-007	-2.5032e-007
189.28	5.0099e-007	-133.42	-3.4437e-007	-3.6388e-007
192.81	7.7813e-007	-142.63	-6.184e-007	-4.7231e-007
196.41	1.1946e-006	-162.98	-1.1423e-006	-3.4964e-007
200.08	1.4648e-006	163.13	-1.4017e-006	4.2518e-007
203.82	1.2524e-006	133.65	-8.6453e-007	9.0619e-007
207.62	9.7055e-007	117.65	-4.5035e-007	8.5974e-007
211.5	7.7613e-007	109.25	-2.5588e-007	7.3273e-007
215.44	6.4633e-007	104.43	-1.6105e-007	6.2594e-007
219.47	5.5508e-007	101.42	-1.099e-007	5.4409e-007
223.56	4.8728e-007	99.421	-7.9759e-008	4.8071e-007
227.73	4.3448e-007	98.034	-6.0724e-008	4.3021e-007
231.99	3.9174e-007	97.044	-4.8039e-008	3.8879e-007
236.32	3.5605e-007	96.325	-3.9226e-008	3.5388e-007
240.73	3.2545e-007	95.802	-3.2902e-008	3.2378e-007
245.22	2.9864e-007	95.429	-2.8253e-008	2.973e-007
249.8	2.7472e-007	95.174	-2.4773e-008	2.736e-007
254.46	2.5303e-007	95.02	-2.2141e-008	2.5206e-007
259.21	2.331e-007	94.957	-2.0143e-008	2.3223e-007
264.05	2.1456e-007	94.984	-1.8638e-008	2.1375e-007
268.98	1.9712e-007	95.102	-1.753e-008	1.9634e-007
274.	1.8056e-007	95.325	-1.6756e-008	1.7978e-007
279.11	1.6468e-007	95.672	-1.6276e-008	1.6387e-007
284.33	1.4933e-007	96.178	-1.607e-008	1.4847e-007
289.63	1.3438e-007	96.898	-1.6139e-008	1.3341e-007
295.04	1.197e-007	97.922	-1.6497e-008	1.1856e-007
300.55	1.0519e-007	99.403	-1.7185e-008	1.0377e-007
306.16	9.0765e-008	101.61	-1.8271e-008	8.8907e-008
311.87	7.6426e-008	105.07	-1.9866e-008	7.3799e-008
317.69	6.2326e-008	110.81	-2.2147e-008	5.8258e-008
323.62	4.9135e-008	121.12	-2.5398e-008	4.2062e-008
329.66	3.9087e-008	140.34	-3.009e-008	2.4947e-008
335.82	3.7617e-008	169.85	-3.7028e-008	6.6321e-009
342.09	4.9396e-008	-164.66	-4.7635e-008	-1.3071e-008
348.47	7.2823e-008	-152.32	-6.4491e-008	-3.3825e-008
354.98	1.0639e-007	-149.97	-9.2109e-008	-5.3236e-008
361.6	1.4984e-007	-155.48	-1.3633e-007	-6.2181e-008
368.35	1.9619e-007	-169.	-1.9259e-007	-3.7418e-008
375.23	2.1926e-007	170.94	-2.1652e-007	3.4542e-008
382.23	1.9914e-007	151.3	-1.7468e-007	9.5627e-008
389.37	1.5822e-007	137.84	-1.1729e-007	1.062e-007
396.64	1.1896e-007	130.55	-7.7345e-008	9.0383e-008
404.04	8.66e-008	128.07	-5.3403e-008	6.8173e-008
411.58	6.0444e-008	130.27	-3.9074e-008	4.6116e-008
419.27	3.9598e-008	139.72	-3.0207e-008	2.5603e-008
