Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
28.61	4.2037e-009	59.959	2.1045e-009	3.639e-009
28.915	4.2486e-009	59.638	2.1475e-009	3.6659e-009
29.224	4.2939e-009	59.314	2.1913e-009	3.6927e-009
29.536	4.3397e-009	58.987	2.236e-009	3.7194e-009
29.851	4.3861e-009	58.656	2.2815e-009	3.7459e-009
30.17	4.4329e-009	58.321	2.328e-009	3.7724e-009
30.492	4.4802e-009	57.983	2.3753e-009	3.7987e-009
30.817	4.528e-009	57.641	2.4235e-009	3.8249e-009
31.146	4.5763e-009	57.296	2.4726e-009	3.8508e-009
31.479	4.6252e-009	56.947	2.5227e-009	3.8766e-009
31.815	4.6745e-009	56.594	2.5737e-009	3.9022e-009
32.154	4.7244e-009	56.237	2.6256e-009	3.9276e-009
32.498	4.7748e-009	55.877	2.6786e-009	3.9528e-009
32.845	4.8258e-009	55.513	2.7325e-009	3.9777e-009
33.195	4.8773e-009	55.144	2.7874e-009	4.0023e-009
33.55	4.9294e-009	54.772	2.8434e-009	4.0266e-009
33.908	4.982e-009	54.396	2.9004e-009	4.0507e-009
34.27	5.0351e-009	54.016	2.9584e-009	4.0744e-009
34.635	5.0889e-009	53.632	3.0175e-009	4.0977e-009
35.005	5.1432e-009	53.244	3.0777e-009	4.1207e-009
35.379	5.1981e-009	52.852	3.139e-009	4.1433e-009
35.756	5.2536e-009	52.455	3.2014e-009	4.1654e-009
36.138	5.3096e-009	52.054	3.265e-009	4.1871e-009
36.524	5.3663e-009	51.649	3.3296e-009	4.2084e-009
36.914	5.4236e-009	51.24	3.3955e-009	4.2291e-009
37.308	5.4814e-009	50.826	3.4625e-009	4.2494e-009
37.706	5.5399e-009	50.408	3.5307e-009	4.2691e-009
38.108	5.5991e-009	49.985	3.6001e-009	4.2882e-009
38.515	5.6588e-009	49.558	3.6707e-009	4.3067e-009
38.926	5.7192e-009	49.127	3.7426e-009	4.3246e-009
39.342	5.7802e-009	48.69	3.8157e-009	4.3418e-009
39.762	5.8419e-009	48.249	3.8901e-009	4.3584e-009
40.186	5.9043e-009	47.804	3.9657e-009	4.3742e-009
40.615	5.9673e-009	47.353	4.0427e-009	4.3892e-009
41.049	6.0309e-009	46.898	4.1209e-009	4.4034e-009
41.487	6.0953e-009	46.438	4.2005e-009	4.4168e-009
41.93	6.1604e-009	45.973	4.2814e-009	4.4294e-009
42.377	6.2261e-009	45.503	4.3637e-009	4.441e-009
42.83	6.2925e-009	45.028	4.4473e-009	4.4517e-009
43.287	6.3597e-009	44.548	4.5323e-009	4.4614e-009
43.749	6.4275e-009	44.063	4.6187e-009	4.47e-009
44.216	6.4961e-009	43.573	4.7064e-009	4.4776e-009
44.688	6.5655e-009	43.077	4.7956e-009	4.4841e-009
45.165	6.6355e-009	42.576	4.8862e-009	4.4894e-009
45.647	6.7063e-009	42.07	4.9783e-009	4.4935e-009
46.134	6.7779e-009	41.559	5.0717e-009	4.4963e-009
46.627	6.8502e-009	41.041	5.1667e-009	4.4979e-009
47.125	6.9233e-009	40.519	5.263e-009	4.4981e-009
47.628	6.9972e-009	39.991	5.3609e-009	4.4968e-009
48.136	7.0718e-009	39.457	5.4602e-009	4.4941e-009
48.65	7.1473e-009	38.918	5.561e-009	4.4899e-009
49.169	7.2235e-009	38.372	5.6632e-009	4.4842e-009
49.694	7.3006e-009	37.821	5.767e-009	4.4767e-009
50.224	7.3785e-009	37.264	5.8722e-009	4.4676e-009
50.761	7.4572e-009	36.701	5.9789e-009	4.4568e-009
51.302	7.5368e-009	36.133	6.0871e-009	4.4441e-009
51.85	7.6172e-009	35.558	6.1968e-009	4.4296e-009
52.403	7.6985e-009	34.977	6.308e-009	4.4131e-009
52.963	7.7806e-009	34.389	6.4207e-009	4.3946e-009
53.528	7.8636e-009	33.796	6.5349e-009	4.374e-009
54.1	7.9475e-009	33.196	6.6505e-009	4.3513e-009
54.677	8.0323e-009	32.59	6.7676e-009	4.3264e-009
55.261	8.118e-009	31.977	6.8862e-009	4.2991e-009
55.851	8.2046e-009	31.358	7.0062e-009	4.2695e-009
56.447	8.2922e-009	30.732	7.1277e-009	4.2375e-009
57.049	8.3806e-009	30.099	7.2506e-009	4.2029e-009
57.658	8.47e-009	29.46	7.3749e-009	4.1657e-009
58.274	8.5604e-009	28.814	7.5005e-009	4.1258e-009
58.896	8.6517e-009	28.161	7.6276e-009	4.0832e-009
59.524	8.744e-009	27.501	7.756e-009	4.0377e-009
60.16	8.8373e-009	26.834	7.8857e-009	3.9892e-009
60.802	8.9316e-009	26.16	8.0167e-009	3.9377e-009
61.451	9.0268e-009	25.478	8.149e-009	3.8831e-009
62.107	9.1231e-009	24.79	8.2825e-009	3.8253e-009
62.77	9.2205e-009	24.094	8.4171e-009	3.7641e-009
63.44	9.3188e-009	23.391	8.553e-009	3.6995e-009
64.117	9.4182e-009	22.68	8.6899e-009	3.6315e-009
64.802	9.5187e-009	21.961	8.828e-009	3.5598e-009
65.493	9.6202e-009	21.235	8.967e-009	3.4844e-009
66.192	9.7228e-009	20.501	9.107e-009	3.4052e-009
66.899	9.8265e-009	19.76	9.2479e-009	3.3221e-009
67.613	9.9313e-009	19.01	9.3897e-009	3.235e-009
68.335	1.0037e-008	18.253	9.5322e-009	3.1438e-009
69.064	1.0144e-008	17.487	9.6755e-009	3.0483e-009
69.801	1.0253e-008	16.713	9.8194e-009	2.9485e-009
70.547	1.0362e-008	15.931	9.9639e-009	2.8442e-009
71.3	1.0472e-008	15.141	1.0109e-008	2.7353e-009
72.061	1.0584e-008	14.342	1.0254e-008	2.6218e-009
72.83	1.0697e-008	13.535	1.04e-008	2.5035e-009
73.607	1.0811e-008	12.719	1.0546e-008	2.3803e-009
74.393	1.0926e-008	11.894	1.0692e-008	2.252e-009
75.187	1.1043e-008	11.061	1.0838e-008	2.1186e-009
75.99	1.1161e-008	10.219	1.0984e-008	1.98e-009
76.801	1.128e-008	9.3675	1.1129e-008	1.836e-009
77.621	1.14e-008	8.5071	1.1275e-008	1.6864e-009
78.449	1.1522e-008	7.6377	1.1419e-008	1.5313e-009
79.287	1.1644e-008	6.7589	1.1564e-008	1.3705e-009
80.133	1.1769e-008	5.8708	1.1707e-008	1.2038e-009
80.988	1.1894e-008	4.9732	1.1849e-008	1.0311e-009
81.853	1.2021e-008	4.066	1.1991e-008	8.5236e-010
82.727	1.2149e-008	3.1492	1.2131e-008	6.6743e-010
83.61	1.2279e-008	2.2226	1.227e-008	4.762e-010
84.502	1.241e-008	1.2861	1.2407e-008	2.7854e-010
85.404	1.2542e-008	0.33969	1.2542e-008	7.4359e-011
86.316	1.2676e-008	-0.61684	1.2675e-008	-1.3646e-010
87.237	1.2811e-008	-1.5836	1.2806e-008	-3.5403e-010
88.168	1.2948e-008	-2.5606	1.2935e-008	-5.7845e-010
89.11	1.3086e-008	-3.5481	1.3061e-008	-8.0982e-010
90.061	1.3225e-008	-4.546	1.3184e-008	-1.0482e-009
91.022	1.3366e-008	-5.5546	1.3304e-008	-1.2938e-009
91.994	1.3509e-008	-6.574	1.342e-008	-1.5466e-009
92.976	1.3653e-008	-7.6042	1.3533e-008	-1.8067e-009
93.968	1.3799e-008	-8.6454	1.3642e-008	-2.0742e-009
94.971	1.3946e-008	-9.6977	1.3747e-008	-2.3492e-009
95.985	1.4095e-008	-10.761	1.3847e-008	-2.6317e-009
97.01	1.4245e-008	-11.836	1.3942e-008	-2.9218e-009
98.045	1.4397e-008	-12.922	1.4032e-008	-3.2196e-009
99.092	1.455e-008	-14.02	1.4117e-008	-3.5251e-009
100.15	1.4706e-008	-15.13	1.4196e-008	-3.8383e-009
101.22	1.4863e-008	-16.251	1.4269e-008	-4.1593e-009
102.3	1.5021e-008	-17.385	1.4335e-008	-4.4881e-009
103.39	1.5181e-008	-18.53	1.4394e-008	-4.8247e-009
104.49	1.5343e-008	-19.688	1.4446e-008	-5.1692e-009
105.61	1.5507e-008	-20.858	1.4491e-008	-5.5214e-009
106.74	1.5673e-008	-22.041	1.4527e-008	-5.8813e-009
107.88	1.584e-008	-23.236	1.4555e-008	-6.249e-009
109.03	1.6009e-008	-24.444	1.4574e-008	-6.6244e-009
110.19	1.618e-008	-25.664	1.4583e-008	-7.0074e-009
111.37	1.6352e-008	-26.898	1.4583e-008	-7.3979e-009
112.56	1.6527e-008	-28.145	1.4573e-008	-7.7959e-009
113.76	1.6703e-008	-29.406	1.4551e-008	-8.2011e-009
114.97	1.6882e-008	-30.679	1.4519e-008	-8.6135e-009
116.2	1.7062e-008	-31.967	1.4474e-008	-9.033e-009
117.44	1.7244e-008	-33.268	1.4418e-008	-9.4592e-009
118.69	1.7428e-008	-34.583	1.4349e-008	-9.8921e-009
119.96	1.7614e-008	-35.912	1.4266e-008	-1.0331e-008
121.24	1.7802e-008	-37.255	1.417e-008	-1.0777e-008
122.54	1.7992e-008	-38.613	1.4059e-008	-1.1228e-008
123.84	1.8184e-008	-39.985	1.3933e-008	-1.1685e-008
125.17	1.8379e-008	-41.372	1.3792e-008	-1.2147e-008
126.5	1.8575e-008	-42.773	1.3635e-008	-1.2614e-008
127.85	1.8773e-008	-44.19	1.3461e-008	-1.3086e-008
129.22	1.8974e-008	-45.622	1.327e-008	-1.3561e-008
130.6	1.9176e-008	-47.069	1.3061e-008	-1.404e-008
131.99	1.9381e-008	-48.531	1.2835e-008	-1.4523e-008
133.4	1.9588e-008	-50.01	1.2589e-008	-1.5008e-008
134.82	1.9798e-008	-51.504	1.2323e-008	-1.5495e-008
136.26	2.0009e-008	-53.014	1.2038e-008	-1.5983e-008
137.72	2.0223e-008	-54.54	1.1732e-008	-1.6472e-008
139.19	2.0439e-008	-56.082	1.1405e-008	-1.6961e-008
140.67	2.0658e-008	-57.641	1.1056e-008	-1.745e-008
142.17	2.0878e-008	-59.217	1.0685e-008	-1.7937e-008
143.69	2.1101e-008	-60.81	1.0291e-008	-1.8422e-008
145.23	2.1327e-008	-62.419	9.8743e-009	-1.8903e-008
146.78	2.1555e-008	-64.046	9.4334e-009	-1.9381e-008
148.34	2.1785e-008	-65.69	8.9682e-009	-1.9854e-008
149.93	2.2018e-008	-67.352	8.4783e-009	-2.032e-008
151.53	2.2253e-008	-69.032	7.9633e-009	-2.078e-008
153.14	2.2491e-008	-70.73	7.4226e-009	-2.1231e-008
154.78	2.2732e-008	-72.446	6.8561e-009	-2.1673e-008
156.43	2.2975e-008	-74.18	6.2633e-009	-2.2104e-008
158.1	2.322e-008	-75.933	5.6439e-009	-2.2524e-008
159.79	2.3468e-008	-77.704	4.9977e-009	-2.293e-008
161.49	2.3719e-008	-79.495	4.3245e-009	-2.3321e-008
163.22	2.3972e-008	-81.305	3.6242e-009	-2.3697e-008
164.96	2.4229e-008	-83.134	2.8966e-009	-2.4055e-008
