Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
20.25	6.2576e-007	-90.156	-1.7036e-009	-6.2576e-007
20.409	6.3683e-007	-90.161	-1.7944e-009	-6.3682e-007
20.57	6.4826e-007	-90.167	-1.8912e-009	-6.4825e-007
20.732	6.6007e-007	-90.173	-1.9942e-009	-6.6006e-007
20.895	6.7228e-007	-90.179	-2.1041e-009	-6.7228e-007
21.06	6.8492e-007	-90.186	-2.2214e-009	-6.8492e-007
21.225	6.9801e-007	-90.193	-2.3467e-009	-6.98e-007
21.392	7.1157e-007	-90.2	-2.4806e-009	-7.1156e-007
21.561	7.2563e-007	-90.207	-2.624e-009	-7.2562e-007
21.731	7.4022e-007	-90.215	-2.7777e-009	-7.4021e-007
21.902	7.5537e-007	-90.223	-2.9424e-009	-7.5536e-007
22.074	7.7112e-007	-90.232	-3.1194e-009	-7.7111e-007
22.248	7.875e-007	-90.241	-3.3096e-009	-7.8749e-007
22.423	8.0455e-007	-90.25	-3.5143e-009	-8.0454e-007
22.599	8.2232e-007	-90.26	-3.735e-009	-8.2231e-007
22.777	8.4085e-007	-90.271	-3.9731e-009	-8.4084e-007
22.956	8.6019e-007	-90.282	-4.2304e-009	-8.6018e-007
23.137	8.8041e-007	-90.293	-4.5089e-009	-8.804e-007
23.319	9.0156e-007	-90.306	-4.8108e-009	-9.0155e-007
23.503	9.2372e-007	-90.319	-5.1384e-009	-9.237e-007
23.688	9.4695e-007	-90.332	-5.4948e-009	-9.4693e-007
23.874	9.7133e-007	-90.347	-5.8829e-009	-9.7132e-007
24.062	9.9697e-007	-90.362	-6.3066e-009	-9.9695e-007
24.251	1.024e-006	-90.379	-6.7698e-009	-1.0239e-006
24.442	1.0524e-006	-90.396	-7.2774e-009	-1.0524e-006
24.635	1.0825e-006	-90.415	-7.8349e-009	-1.0824e-006
24.829	1.1142e-006	-90.434	-8.4485e-009	-1.1142e-006
25.024	1.1479e-006	-90.456	-9.1256e-009	-1.1478e-006
25.221	1.1836e-006	-90.478	-9.8747e-009	-1.1835e-006
25.419	1.2215e-006	-90.502	-1.0706e-008	-1.2215e-006
25.619	1.262e-006	-90.528	-1.163e-008	-1.2619e-006
25.821	1.3052e-006	-90.556	-1.2662e-008	-1.3051e-006
26.024	1.3514e-006	-90.586	-1.3818e-008	-1.3513e-006
26.229	1.401e-006	-90.618	-1.5117e-008	-1.4009e-006
26.436	1.4543e-006	-90.653	-1.6583e-008	-1.4542e-006
26.644	1.5118e-006	-90.691	-1.8244e-008	-1.5117e-006
26.853	1.5741e-006	-90.733	-2.0135e-008	-1.5739e-006
27.065	1.6416e-006	-90.778	-2.2298e-008	-1.6415e-006
27.278	1.7153e-006	-90.828	-2.4785e-008	-1.7151e-006
27.492	1.7958e-006	-90.883	-2.7662e-008	-1.7956e-006
27.709	1.8843e-006	-90.943	-3.1011e-008	-1.8841e-006
27.927	1.982e-006	-91.01	-3.4937e-008	-1.9817e-006
28.147	2.0904e-006	-91.085	-3.9576e-008	-2.0901e-006
28.368	2.2115e-006	-91.169	-4.5104e-008	-2.211e-006
28.591	2.3474e-006	-91.263	-5.1757e-008	-2.3468e-006
28.816	2.5013e-006	-91.371	-5.9849e-008	-2.5006e-006
29.043	2.6769e-006	-91.494	-6.9815e-008	-2.6759e-006
29.272	2.8791e-006	-91.637	-8.2262e-008	-2.8779e-006
29.502	3.1146e-006	-91.804	-9.8063e-008	-3.1131e-006
29.734	3.3924e-006	-92.002	-1.1851e-007	-3.3904e-006
29.968	3.725e-006	-92.239	-1.4555e-007	-3.7221e-006
30.204	4.1303e-006	-92.53	-1.8231e-007	-4.1263e-006
30.442	4.6353e-006	-92.893	-2.3393e-007	-4.6293e-006
30.682	5.2816e-006	-93.359	-3.0946e-007	-5.2726e-006
30.923	6.1385e-006	-93.979	-4.2592e-007	-6.1237e-006
31.167	7.3283e-006	-94.842	-6.1855e-007	-7.3021e-006
31.412	9.0904e-006	-96.125	-9.699e-007	-9.0385e-006
31.659	1.1963e-005	-98.227	-1.7117e-006	-1.184e-005
31.908	1.7439e-005	-102.27	-3.7074e-006	-1.704e-005
32.159	3.1448e-005	-113.	-1.2288e-005	-2.8948e-005
32.412	7.7528e-005	-169.06	-7.612e-005	-1.4708e-005
32.668	3.6176e-005	117.84	-1.6894e-005	3.1989e-005
32.925	1.8846e-005	104.36	-4.6742e-006	1.8257e-005
33.184	1.2567e-005	99.706	-2.1187e-006	1.2387e-005
33.445	9.3958e-006	97.384	-1.2076e-006	9.3179e-006
33.708	7.4923e-006	95.998	-7.8291e-007	7.4513e-006
33.974	6.2248e-006	95.079	-5.5107e-007	6.2004e-006
34.241	5.3208e-006	94.426	-4.1058e-007	5.3049e-006
34.51	4.6437e-006	93.938	-3.1893e-007	4.6327e-006
34.782	4.1176e-006	93.561	-2.5575e-007	4.1096e-006
35.056	3.697e-006	93.261	-2.103e-007	3.6911e-006
35.332	3.3532e-006	93.017	-1.7647e-007	3.3486e-006
35.61	3.0668e-006	92.814	-1.5059e-007	3.0631e-006
35.89	2.8245e-006	92.644	-1.3032e-007	2.8215e-006
36.173	2.6169e-006	92.5	-1.1414e-007	2.6144e-006
