Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
21.225	9.4633e-009	98.167	-1.3444e-009	9.3673e-009
21.392	9.2486e-009	98.734	-1.4044e-009	9.1413e-009
21.561	9.0191e-009	99.364	-1.4675e-009	8.8989e-009
21.731	8.7742e-009	100.07	-1.5341e-009	8.6391e-009
21.902	8.5132e-009	100.86	-1.6043e-009	8.3607e-009
22.074	8.2353e-009	101.76	-1.6785e-009	8.0624e-009
22.248	7.9398e-009	102.78	-1.7568e-009	7.743e-009
22.423	7.6261e-009	103.96	-1.8397e-009	7.4009e-009
22.599	7.2938e-009	105.32	-1.9274e-009	7.0345e-009
22.777	6.9426e-009	106.92	-2.0202e-009	6.6422e-009
22.956	6.5728e-009	108.8	-2.1187e-009	6.222e-009
23.137	6.1852e-009	111.07	-2.2232e-009	5.7718e-009
23.319	5.7816e-009	113.81	-2.3342e-009	5.2895e-009
23.503	5.3655e-009	117.2	-2.4522e-009	4.7724e-009
23.688	4.9432e-009	121.43	-2.5778e-009	4.2178e-009
23.874	4.5253e-009	126.82	-2.7118e-009	3.6228e-009
24.062	4.1295e-009	133.73	-2.8547e-009	2.9839e-009
24.251	3.7846e-009	142.62	-3.0074e-009	2.2976e-009
24.442	3.5336e-009	153.81	-3.1708e-009	1.5595e-009
24.635	3.4324e-009	167.12	-3.346e-009	7.653e-010
24.829	3.5351e-009	-178.54	-3.534e-009	-9.0287e-011
25.024	3.871e-009	-164.83	-3.7361e-009	-1.013e-009
25.221	4.4351e-009	-153.06	-3.9539e-009	-2.0092e-009
25.419	5.2031e-009	-143.62	-4.1889e-009	-3.0863e-009
25.619	6.1501e-009	-136.26	-4.4431e-009	-4.2524e-009
25.821	7.2597e-009	-130.54	-4.7186e-009	-5.5171e-009
26.024	8.5244e-009	-126.06	-5.018e-009	-6.8909e-009
26.229	9.9443e-009	-122.51	-5.3441e-009	-8.3863e-009
26.436	1.1526e-008	-119.64	-5.7004e-009	-1.0017e-008
26.644	1.328e-008	-117.3	-6.0908e-009	-1.1801e-008
26.853	1.5222e-008	-115.36	-6.52e-009	-1.3755e-008
27.065	1.7373e-008	-113.74	-6.9937e-009	-1.5903e-008
27.278	1.9758e-008	-112.37	-7.5183e-009	-1.8272e-008
27.492	2.2408e-008	-111.2	-8.1021e-009	-2.0892e-008
27.709	2.5361e-008	-110.19	-8.7549e-009	-2.3802e-008
27.927	2.8663e-008	-109.33	-9.4885e-009	-2.7047e-008
28.147	3.2371e-008	-108.59	-1.0318e-008	-3.0682e-008
28.368	3.6556e-008	-107.94	-1.1263e-008	-3.4777e-008
28.591	4.1305e-008	-107.39	-1.2346e-008	-3.9417e-008
28.816	4.6732e-008	-106.92	-1.3599e-008	-4.471e-008
29.043	5.2979e-008	-106.52	-1.5063e-008	-5.0793e-008
29.272	6.0235e-008	-106.19	-1.6793e-008	-5.7847e-008
29.502	6.8749e-008	-105.93	-1.8864e-008	-6.611e-008
29.734	7.886e-008	-105.73	-2.1383e-008	-7.5906e-008
29.968	9.1044e-008	-105.61	-2.4504e-008	-8.7684e-008
30.204	1.0598e-007	-105.58	-2.8459e-008	-1.0209e-007
30.442	1.2469e-007	-105.64	-3.3614e-008	-1.2007e-007
30.682	1.4875e-007	-105.83	-4.0576e-008	-1.4311e-007
30.923	1.8079e-007	-106.19	-5.0423e-008	-1.7362e-007
31.167	2.2544e-007	-106.82	-6.5245e-008	-2.1579e-007
31.412	2.9179e-007	-107.89	-8.9627e-008	-2.7769e-007
31.659	4.0027e-007	-109.79	-1.3551e-007	-3.7664e-007
31.908	6.0769e-007	-113.65	-2.4376e-007	-5.5666e-007
32.159	1.1402e-006	-124.2	-6.4092e-007	-9.4307e-007
32.412	2.9225e-006	179.9	-2.9225e-006	5.2327e-009
32.668	1.4167e-006	106.95	-4.1308e-007	1.3552e-006
32.925	7.6619e-007	93.613	-4.8276e-008	7.6466e-007
33.184	5.3e-007	89.089	8.4225e-009	5.2993e-007
33.445	4.1083e-007	86.889	2.2294e-008	4.1022e-007
33.708	3.3942e-007	85.617	2.594e-008	3.3843e-007
33.974	2.9201e-007	84.804	2.6446e-008	2.9081e-007
34.241	2.5832e-007	84.25	2.5881e-008	2.5702e-007
34.51	2.3319e-007	83.855	2.4963e-008	2.3185e-007
34.782	2.1378e-007	83.564	2.3963e-008	2.1243e-007
35.056	1.9835e-007	83.344	2.2989e-008	1.9701e-007
35.332	1.8583e-007	83.175	2.2082e-008	1.8451e-007
35.61	1.7547e-007	83.043	2.1254e-008	1.7418e-007
35.89	1.6679e-007	82.938	2.0506e-008	1.6553e-007
36.173	1.5942e-007	82.854	1.9833e-008	1.5819e-007
36.457	1.5311e-007	82.785	1.9228e-008	1.5189e-007
36.744	1.4764e-007	82.73	1.8684e-008	1.4645e-007
