Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
28.61	3.6182e-008	86.515	2.1992e-009	3.6115e-008
28.915	3.6567e-008	86.478	2.2463e-009	3.6498e-008
29.224	3.6957e-008	86.441	2.2944e-009	3.6886e-008
29.536	3.7351e-008	86.403	2.3436e-009	3.7277e-008
29.851	3.7748e-008	86.364	2.3938e-009	3.7672e-008
30.17	3.815e-008	86.325	2.4451e-009	3.8072e-008
30.492	3.8557e-008	86.286	2.4974e-009	3.8476e-008
30.817	3.8967e-008	86.247	2.5509e-009	3.8884e-008
31.146	3.9382e-008	86.206	2.6056e-009	3.9296e-008
31.479	3.9802e-008	86.166	2.6614e-009	3.9713e-008
31.815	4.0226e-008	86.125	2.7184e-009	4.0134e-008
32.154	4.0654e-008	86.084	2.7766e-009	4.0559e-008
32.498	4.1087e-008	86.042	2.836e-009	4.0989e-008
32.845	4.1524e-008	86.	2.8968e-009	4.1423e-008
33.195	4.1966e-008	85.957	2.9588e-009	4.1862e-008
33.55	4.2413e-008	85.914	3.0221e-009	4.2305e-008
33.908	4.2864e-008	85.87	3.0868e-009	4.2753e-008
34.27	4.3321e-008	85.826	3.1529e-009	4.3206e-008
34.635	4.3782e-008	85.782	3.2204e-009	4.3663e-008
35.005	4.4248e-008	85.737	3.2894e-009	4.4125e-008
35.379	4.4719e-008	85.691	3.3598e-009	4.4592e-008
35.756	4.5195e-008	85.645	3.4317e-009	4.5064e-008
36.138	4.5675e-008	85.599	3.5051e-009	4.5541e-008
36.524	4.6161e-008	85.552	3.5801e-009	4.6022e-008
36.914	4.6653e-008	85.504	3.6568e-009	4.6509e-008
37.308	4.7149e-008	85.456	3.735e-009	4.7001e-008
37.706	4.765e-008	85.408	3.8149e-009	4.7498e-008
38.108	4.8157e-008	85.359	3.8966e-009	4.7999e-008
38.515	4.867e-008	85.309	3.9799e-009	4.8507e-008
38.926	4.9187e-008	85.259	4.0651e-009	4.9019e-008
39.342	4.971e-008	85.209	4.152e-009	4.9537e-008
39.762	5.0239e-008	85.158	4.2408e-009	5.006e-008
40.186	5.0773e-008	85.106	4.3315e-009	5.0588e-008
40.615	5.1313e-008	85.054	4.4242e-009	5.1122e-008
41.049	5.1858e-008	85.001	4.5188e-009	5.1661e-008
41.487	5.241e-008	84.948	4.6154e-009	5.2206e-008
41.93	5.2967e-008	84.894	4.7141e-009	5.2757e-008
42.377	5.353e-008	84.839	4.8149e-009	5.3313e-008
42.83	5.4099e-008	84.784	4.9178e-009	5.3875e-008
43.287	5.4673e-008	84.729	5.0229e-009	5.4442e-008
43.749	5.5254e-008	84.673	5.1303e-009	5.5016e-008
44.216	5.5841e-008	84.616	5.2399e-009	5.5595e-008
44.688	5.6435e-008	84.558	5.3519e-009	5.618e-008
45.165	5.7034e-008	84.5	5.4662e-009	5.6771e-008
45.647	5.764e-008	84.442	5.583e-009	5.7369e-008
46.134	5.8252e-008	84.382	5.7023e-009	5.7972e-008
46.627	5.887e-008	84.322	5.8241e-009	5.8582e-008
47.125	5.9495e-008	84.262	5.9485e-009	5.9197e-008
47.628	6.0127e-008	84.201	6.0755e-009	5.9819e-008
48.136	6.0765e-008	84.139	6.2053e-009	6.0448e-008
48.65	6.141e-008	84.076	6.3378e-009	6.1082e-008
49.169	6.2062e-008	84.013	6.4731e-009	6.1723e-008
49.694	6.272e-008	83.949	6.6113e-009	6.2371e-008
50.224	6.3386e-008	83.885	6.7524e-009	6.3025e-008
50.761	6.4058e-008	83.82	6.8965e-009	6.3686e-008
51.302	6.4738e-008	83.754	7.0436e-009	6.4353e-008
51.85	6.5424e-008	83.687	7.1939e-009	6.5027e-008
52.403	6.6118e-008	83.62	7.3474e-009	6.5708e-008
52.963	6.6819e-008	83.552	7.5041e-009	6.6396e-008
53.528	6.7527e-008	83.483	7.6642e-009	6.7091e-008
54.1	6.8243e-008	83.414	7.8276e-009	6.7793e-008
54.677	6.8966e-008	83.343	7.9945e-009	6.8501e-008
55.261	6.9697e-008	83.272	8.1649e-009	6.9217e-008
55.851	7.0435e-008	83.201	8.339e-009	6.994e-008
56.447	7.1181e-008	83.128	8.5167e-009	7.067e-008
57.049	7.1935e-008	83.055	8.6982e-009	7.1407e-008
57.658	7.2697e-008	82.981	8.8835e-009	7.2152e-008
58.274	7.3467e-008	82.906	9.0728e-009	7.2904e-008
58.896	7.4244e-008	82.831	9.266e-009	7.3664e-008
59.524	7.503e-008	82.754	9.4633e-009	7.4431e-008
60.16	7.5824e-008	82.677	9.6648e-009	7.5205e-008
60.802	7.6626e-008	82.599	9.8705e-009	7.5988e-008
61.451	7.7437e-008	82.52	1.0081e-008	7.6778e-008
62.107	7.8255e-008	82.44	1.0295e-008	7.7575e-008
62.77	7.9083e-008	82.36	1.0514e-008	7.8381e-008
63.44	7.9919e-008	82.278	1.0738e-008	7.9194e-008
64.117	8.0763e-008	82.196	1.0966e-008	8.0015e-008
64.802	8.1617e-008	82.113	1.1199e-008	8.0845e-008
65.493	8.2479e-008	82.029	1.1437e-008	8.1682e-008
66.192	8.335e-008	81.944	1.1681e-008	8.2528e-008
66.899	8.423e-008	81.858	1.1929e-008	8.3381e-008
67.613	8.5119e-008	81.772	1.2182e-008	8.4243e-008
68.335	8.6018e-008	81.684	1.2441e-008	8.5113e-008
69.064	8.6925e-008	81.595	1.2705e-008	8.5992e-008
69.801	8.7842e-008	81.506	1.2975e-008	8.6879e-008
70.547	8.8769e-008	81.415	1.325e-008	8.7774e-008
71.3	8.9705e-008	81.324	1.3532e-008	8.8678e-008
72.061	9.065e-008	81.232	1.3819e-008	8.9591e-008
72.83	9.1606e-008	81.138	1.4112e-008	9.0512e-008
73.607	9.2571e-008	81.044	1.4411e-008	9.1442e-008
74.393	9.3546e-008	80.949	1.4716e-008	9.2381e-008
75.187	9.4531e-008	80.852	1.5028e-008	9.3328e-008
75.99	9.5526e-008	80.755	1.5347e-008	9.4285e-008
76.801	9.6531e-008	80.657	1.5672e-008	9.525e-008
77.621	9.7546e-008	80.557	1.6004e-008	9.6225e-008
78.449	9.8572e-008	80.457	1.6343e-008	9.7208e-008
79.287	9.9608e-008	80.355	1.6689e-008	9.8201e-008
80.133	1.0066e-007	80.252	1.7042e-008	9.9202e-008
80.988	1.0171e-007	80.149	1.7402e-008	1.0021e-007
81.853	1.0278e-007	80.044	1.777e-008	1.0123e-007
82.727	1.0386e-007	79.938	1.8146e-008	1.0226e-007
83.61	1.0495e-007	79.831	1.8529e-008	1.033e-007
84.502	1.0605e-007	79.723	1.8921e-008	1.0435e-007
85.404	1.0716e-007	79.614	1.932e-008	1.0541e-007
86.316	1.0829e-007	79.503	1.9728e-008	1.0647e-007
87.237	1.0942e-007	79.391	2.0144e-008	1.0755e-007
88.168	1.1057e-007	79.279	2.0569e-008	1.0864e-007
89.11	1.1173e-007	79.165	2.1003e-008	1.0973e-007
90.061	1.129e-007	79.049	2.1446e-008	1.1084e-007
91.022	1.1408e-007	78.933	2.1898e-008	1.1196e-007
91.994	1.1527e-007	78.815	2.2359e-008	1.1308e-007
92.976	1.1647e-007	78.696	2.283e-008	1.1422e-007
93.968	1.1769e-007	78.576	2.331e-008	1.1536e-007
94.971	1.1892e-007	78.455	2.3801e-008	1.1651e-007
95.985	1.2016e-007	78.332	2.4301e-008	1.1768e-007
97.01	1.2142e-007	78.208	2.4812e-008	1.1885e-007
98.045	1.2268e-007	78.083	2.5333e-008	1.2004e-007
99.092	1.2396e-007	77.956	2.5866e-008	1.2123e-007
100.15	1.2525e-007	77.828	2.6409e-008	1.2244e-007
101.22	1.2656e-007	77.699	2.6963e-008	1.2365e-007
102.3	1.2787e-007	77.568	2.7528e-008	1.2488e-007
103.39	1.292e-007	77.436	2.8105e-008	1.2611e-007
104.49	1.3055e-007	77.303	2.8694e-008	1.2735e-007
105.61	1.319e-007	77.168	2.9295e-008	1.2861e-007
106.74	1.3327e-007	77.032	2.9909e-008	1.2987e-007
107.88	1.3466e-007	76.894	3.0534e-008	1.3115e-007
109.03	1.3605e-007	76.755	3.1173e-008	1.3243e-007
110.19	1.3746e-007	76.614	3.1824e-008	1.3373e-007
111.37	1.3889e-007	76.472	3.2489e-008	1.3503e-007
112.56	1.4033e-007	76.328	3.3167e-008	1.3635e-007
113.76	1.4178e-007	76.183	3.3859e-008	1.3767e-007
114.97	1.4324e-007	76.036	3.4566e-008	1.3901e-007
116.2	1.4472e-007	75.888	3.5286e-008	1.4035e-007
