Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
36.138	4.9288e-007	90.	0.	4.9288e-007
36.524	4.8705e-007	90.	0.	4.8705e-007
36.914	4.8128e-007	90.	0.	4.8128e-007
37.308	4.7556e-007	90.	0.	4.7556e-007
37.706	4.6989e-007	90.	0.	4.6989e-007
38.108	4.6428e-007	90.	0.	4.6428e-007
38.515	4.5872e-007	90.	0.	4.5872e-007
38.926	4.5321e-007	90.	0.	4.5321e-007
39.342	4.4775e-007	90.	0.	4.4775e-007
39.762	4.4234e-007	90.	0.	4.4234e-007
40.186	4.3698e-007	90.	0.	4.3698e-007
40.615	4.3167e-007	90.	0.	4.3167e-007
41.049	4.2641e-007	90.	0.	4.2641e-007
41.487	4.212e-007	90.	0.	4.212e-007
41.93	4.1603e-007	90.	0.	4.1603e-007
42.377	4.1091e-007	90.	0.	4.1091e-007
42.83	4.0584e-007	90.	0.	4.0584e-007
43.287	4.0081e-007	90.	0.	4.0081e-007
43.749	3.9583e-007	90.	0.	3.9583e-007
44.216	3.9089e-007	90.	0.	3.9089e-007
44.688	3.8599e-007	90.	0.	3.8599e-007
45.165	3.8114e-007	90.	0.	3.8114e-007
45.647	3.7633e-007	90.	0.	3.7633e-007
46.134	3.7157e-007	90.	0.	3.7157e-007
46.627	3.6684e-007	90.	0.	3.6684e-007
47.125	3.6216e-007	90.	0.	3.6216e-007
47.628	3.5751e-007	90.	0.	3.5751e-007
48.136	3.5291e-007	90.	0.	3.5291e-007
48.65	3.4835e-007	90.	0.	3.4835e-007
49.169	3.4382e-007	90.	0.	3.4382e-007
49.694	3.3934e-007	90.	0.	3.3934e-007
50.224	3.3489e-007	90.	0.	3.3489e-007
50.761	3.3048e-007	90.	0.	3.3048e-007
51.302	3.261e-007	90.	0.	3.261e-007
51.85	3.2176e-007	90.	0.	3.2176e-007
52.403	3.1746e-007	90.	0.	3.1746e-007
52.963	3.1319e-007	90.	0.	3.1319e-007
53.528	3.0896e-007	90.	0.	3.0896e-007
54.1	3.0476e-007	90.	0.	3.0476e-007
54.677	3.006e-007	90.	0.	3.006e-007
55.261	2.9647e-007	90.	0.	2.9647e-007
55.851	2.9237e-007	90.	0.	2.9237e-007
56.447	2.8831e-007	90.	0.	2.8831e-007
57.049	2.8427e-007	90.	0.	2.8427e-007
57.658	2.8027e-007	90.	0.	2.8027e-007
58.274	2.763e-007	90.	0.	2.763e-007
58.896	2.7236e-007	90.	0.	2.7236e-007
59.524	2.6845e-007	90.	0.	2.6845e-007
60.16	2.6457e-007	90.	0.	2.6457e-007
60.802	2.6072e-007	90.	0.	2.6072e-007
61.451	2.569e-007	90.	0.	2.569e-007
62.107	2.531e-007	90.	0.	2.531e-007
