Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
59.032	5.0921e-007	-90.	2.7375e-015	-5.0921e-007
60.133	4.982e-007	-90.	2.8429e-015	-4.982e-007
61.256	4.8736e-007	-90.	2.9524e-015	-4.8736e-007
62.399	4.7668e-007	-90.	3.0662e-015	-4.7668e-007
63.564	4.6616e-007	-90.	3.1846e-015	-4.6616e-007
64.751	4.558e-007	-90.	3.3076e-015	-4.558e-007
65.959	4.456e-007	-90.	3.4355e-015	-4.456e-007
67.191	4.3554e-007	-90.	3.5684e-015	-4.3554e-007
68.445	4.2564e-007	-90.	3.7067e-015	-4.2564e-007
69.723	4.1587e-007	-90.	3.8505e-015	-4.1587e-007
71.024	4.0625e-007	-90.	4.e-015	-4.0625e-007
72.35	3.9676e-007	-90.	4.1555e-015	-3.9676e-007
73.7	3.8741e-007	-90.	4.3172e-015	-3.8741e-007
75.076	3.7819e-007	-90.	4.4855e-015	-3.7819e-007
76.478	3.6909e-007	-90.	4.6605e-015	-3.6909e-007
77.905	3.6012e-007	-90.	4.8426e-015	-3.6012e-007
79.359	3.5126e-007	-90.	5.0321e-015	-3.5126e-007
80.841	3.4253e-007	-90.	5.2294e-015	-3.4253e-007
82.35	3.339e-007	-90.	5.4346e-015	-3.339e-007
83.887	3.2539e-007	-90.	5.6483e-015	-3.2539e-007
85.453	3.1699e-007	-90.	5.8707e-015	-3.1699e-007
87.048	3.0869e-007	-90.	6.1022e-015	-3.0869e-007
88.673	3.0049e-007	-90.	6.3434e-015	-3.0049e-007
90.328	2.9239e-007	-90.	6.5945e-015	-2.9239e-007
92.014	2.8438e-007	-90.	6.8561e-015	-2.8438e-007
93.732	2.7647e-007	-90.	7.1286e-015	-2.7647e-007
95.482	2.6864e-007	-90.	7.4126e-015	-2.6864e-007
97.264	2.609e-007	-90.	7.7085e-015	-2.609e-007
99.08	2.5324e-007	-90.	8.017e-015	-2.5324e-007
100.93	2.4567e-007	-90.	8.3385e-015	-2.4567e-007
102.81	2.3817e-007	-90.	8.6738e-015	-2.3817e-007
104.73	2.3074e-007	-90.	9.0235e-015	-2.3074e-007
106.69	2.2339e-007	-90.	9.3882e-015	-2.2339e-007
108.68	2.161e-007	-90.	9.7688e-015	-2.161e-007
110.71	2.0888e-007	-90.	1.0166e-014	-2.0888e-007
112.77	2.0172e-007	-90.	1.0581e-014	-2.0172e-007
114.88	1.9462e-007	-90.	1.1013e-014	-1.9462e-007
117.02	1.8757e-007	-90.	1.1465e-014	-1.8757e-007
119.21	1.8058e-007	-90.	1.1938e-014	-1.8058e-007
121.43	1.7363e-007	-90.	1.2431e-014	-1.7363e-007
123.7	1.6673e-007	-90.	1.2947e-014	-1.6673e-007
126.01	1.5988e-007	-90.	1.3487e-014	-1.5988e-007
128.36	1.5306e-007	-90.	1.4051e-014	-1.5306e-007
130.76	1.4628e-007	-90.	1.4641e-014	-1.4628e-007
133.2	1.3953e-007	-90.	1.5259e-014	-1.3953e-007
135.68	1.3282e-007	-90.	1.5906e-014	-1.3282e-007
138.22	1.2612e-007	-90.	1.6584e-014	-1.2612e-007
140.8	1.1945e-007	-90.	1.7295e-014	-1.1945e-007
143.43	1.128e-007	-90.	1.804e-014	-1.128e-007
146.1	1.0616e-007	-90.	1.8821e-014	-1.0616e-007
148.83	9.9537e-008	-90.	1.9641e-014	-9.9537e-008
151.61	9.2917e-008	-90.	2.0502e-014	-9.2917e-008
154.44	8.6298e-008	-90.	2.1407e-014	-8.6298e-008
157.32	7.9677e-008	-90.	2.2358e-014	-7.9677e-008
160.26	7.3049e-008	-90.	2.3358e-014	-7.3049e-008
163.25	6.641e-008	-90.	2.4411e-014	-6.641e-008
166.3	5.9753e-008	-90.	2.552e-014	-5.9753e-008
169.4	5.3075e-008	-90.	2.6689e-014	-5.3075e-008
172.56	4.637e-008	-90.	2.7923e-014	-4.637e-008
175.78	3.9631e-008	-90.	2.9224e-014	-3.9631e-008
179.07	3.2852e-008	-90.	3.06e-014	-3.2852e-008
182.41	2.6028e-008	-90.	3.2055e-014	-2.6028e-008
185.81	1.9151e-008	-90.	3.3595e-014	-1.9151e-008
189.28	1.2213e-008	-90.	3.5227e-014	-1.2213e-008
192.81	5.2077e-009	-90.	3.6959e-014	-5.2077e-009
196.41	1.8744e-009	89.999	3.8797e-014	1.8744e-009
200.08	9.0422e-009	90.	4.0753e-014	9.0422e-009
203.82	1.6306e-008	90.	4.2835e-014	1.6306e-008
207.62	2.3675e-008	90.	4.5055e-014	2.3675e-008
211.5	3.1162e-008	90.	4.7426e-014	3.1162e-008
215.44	3.8779e-008	90.	4.9962e-014	3.8779e-008
219.47	4.654e-008	90.	5.2679e-014	4.654e-008
223.56	5.4459e-008	90.	5.5596e-014	5.4459e-008
227.73	6.2555e-008	90.	5.8732e-014	6.2555e-008
231.99	7.0843e-008	90.	6.2113e-014	7.0843e-008
236.32	7.9346e-008	90.	6.5765e-014	7.9346e-008
240.73	8.8086e-008	90.	6.9719e-014	8.8086e-008
245.22	9.7087e-008	90.	7.4012e-014	9.7087e-008
