Freq(hertz)	SPL(dB)		WPhase(deg)
131.22  	90.67   	-142.97 
133.11  	90.64   	-144.48 
135.03  	90.61   	-145.98 
136.98  	90.59   	-147.46 
138.95  	90.59   	-148.93 
140.95  	90.59   	-150.40 
142.98  	90.62   	-151.86 
145.04  	90.65   	-153.31 
147.13  	90.70   	-154.77 
149.25  	90.77   	-156.22 
151.40  	90.86   	-157.69 
153.58  	90.96   	-159.16 
155.79  	91.09   	-160.64 
158.04  	91.24   	-162.14 
160.31  	91.42   	-163.67 
162.62  	91.62   	-165.23 
164.96  	91.86   	-166.83 
167.34  	92.13   	-168.48 
169.75  	92.44   	-170.20 
172.20  	92.80   	-172.00 
174.68  	93.20   	-173.91 
177.19  	93.67   	-175.95 
179.75  	94.19   	-178.18 
182.33  	94.80   	179.35  
184.96  	95.49   	176.56  
187.63  	96.30   	173.32  
190.33  	97.23   	169.44  
193.07  	98.31   	164.61  
195.85  	99.56   	158.33  
198.67  	101.00  	149.73  
201.53  	102.54  	137.45  
204.44  	103.89  	119.79  
207.38  	104.41  	96.90   
210.37  	103.62  	73.72   
213.40  	101.92  	55.54   
216.47  	99.99   	42.87   
219.59  	98.16   	34.04   
222.75  	96.51   	27.64   
225.96  	95.04   	22.76   
229.22  	93.72   	18.87   
232.52  	92.54   	15.65   
235.87  	91.47   	12.91   
239.27  	90.50   	10.50   
242.71  	89.61   	8.35    
246.21  	88.80   	6.40    
249.76  	88.06   	4.59    
253.35  	87.37   	2.90    
257.00  	86.74   	1.29    
260.70  	86.16   	-0.24   
264.46  	85.63   	-1.71   
268.27  	85.15   	-3.15   
272.13  	84.70   	-4.55   
276.05  	84.30   	-5.93   
280.03  	83.94   	-7.29   
284.06  	83.63   	-8.65   
288.16  	83.35   	-10.02  
292.31  	83.11   	-11.39  
296.52  	82.92   	-12.79  
300.79  	82.77   	-14.22  
305.12  	82.66   	-15.68  
309.52  	82.60   	-17.20  
313.97  	82.59   	-18.79  
318.50  	82.64   	-20.46  
323.08  	82.73   	-22.24  
327.74  	82.90   	-24.16  
332.46  	83.12   	-26.26  
337.25  	83.42   	-28.58  
342.11  	83.81   	-31.20  
347.03  	84.28   	-34.20  
352.03  	84.86   	-37.73  
