Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
62.399	5.405e-008	84.445	5.2324e-009	5.3796e-008
63.564	5.5054e-008	84.341	5.4286e-009	5.4786e-008
64.751	5.6076e-008	84.236	5.6322e-009	5.5793e-008
65.959	5.7117e-008	84.128	5.8433e-009	5.6817e-008
67.191	5.8177e-008	84.019	6.0623e-009	5.7861e-008
68.445	5.9257e-008	83.907	6.2895e-009	5.8922e-008
69.723	6.0356e-008	83.794	6.5251e-009	6.0002e-008
71.024	6.1476e-008	83.678	6.7695e-009	6.1102e-008
72.35	6.2616e-008	83.56	7.023e-009	6.2221e-008
73.7	6.3777e-008	83.44	7.2859e-009	6.3359e-008
75.076	6.4959e-008	83.318	7.5586e-009	6.4517e-008
76.478	6.6162e-008	83.193	7.8414e-009	6.5696e-008
77.905	6.7388e-008	83.067	8.1347e-009	6.6895e-008
79.359	6.8636e-008	82.937	8.4389e-009	6.8115e-008
80.841	6.9906e-008	82.806	8.7544e-009	6.9356e-008
82.35	7.12e-008	82.672	9.0816e-009	7.0619e-008
83.887	7.2518e-008	82.536	9.4209e-009	7.1903e-008
85.453	7.3859e-008	82.397	9.7728e-009	7.3209e-008
87.048	7.5225e-008	82.255	1.0138e-008	7.4538e-008
88.673	7.6615e-008	82.111	1.0516e-008	7.589e-008
90.328	7.803e-008	81.964	1.0908e-008	7.7264e-008
92.014	7.9472e-008	81.814	1.1315e-008	7.8662e-008
93.732	8.0939e-008	81.662	1.1737e-008	8.0083e-008
95.482	8.2433e-008	81.507	1.2175e-008	8.1529e-008
97.264	8.3953e-008	81.349	1.2628e-008	8.2998e-008
99.08	8.5501e-008	81.188	1.3098e-008	8.4492e-008
100.93	8.7077e-008	81.024	1.3586e-008	8.6011e-008
102.81	8.8681e-008	80.857	1.4091e-008	8.7554e-008
104.73	9.0314e-008	80.687	1.4615e-008	8.9124e-008
106.69	9.1976e-008	80.514	1.5159e-008	9.0718e-008
108.68	9.3668e-008	80.337	1.5722e-008	9.2339e-008
110.71	9.539e-008	80.158	1.6306e-008	9.3986e-008
112.77	9.7143e-008	79.975	1.6911e-008	9.566e-008
114.88	9.8927e-008	79.788	1.7538e-008	9.736e-008
117.02	1.0074e-007	79.598	1.8189e-008	9.9087e-008
119.21	1.0259e-007	79.405	1.8863e-008	1.0084e-007
121.43	1.0447e-007	79.208	1.9561e-008	1.0262e-007
123.7	1.0638e-007	79.007	2.0286e-008	1.0443e-007
126.01	1.0833e-007	78.803	2.1036e-008	1.0627e-007
128.36	1.1031e-007	78.595	2.1814e-008	1.0813e-007
130.76	1.1233e-007	78.383	2.262e-008	1.1003e-007
133.2	1.1438e-007	78.167	2.3455e-008	1.1195e-007
135.68	1.1647e-007	77.947	2.4321e-008	1.139e-007
138.22	1.1859e-007	77.723	2.5218e-008	1.1588e-007
140.8	1.2075e-007	77.494	2.6147e-008	1.1789e-007
143.43	1.2295e-007	77.262	2.711e-008	1.1992e-007
146.1	1.2518e-007	77.025	2.8107e-008	1.2199e-007
148.83	1.2746e-007	76.784	2.9141e-008	1.2408e-007
151.61	1.2977e-007	76.538	3.0211e-008	1.262e-007
154.44	1.3212e-007	76.287	3.132e-008	1.2836e-007
157.32	1.3451e-007	76.032	3.2468e-008	1.3054e-007
160.26	1.3695e-007	75.773	3.3657e-008	1.3274e-007
163.25	1.3942e-007	75.508	3.4889e-008	1.3498e-007
166.3	1.4193e-007	75.238	3.6164e-008	1.3725e-007
169.4	1.4449e-007	74.964	3.7484e-008	1.3954e-007
172.56	1.4709e-007	74.684	3.885e-008	1.4186e-007
175.78	1.4973e-007	74.4	4.0265e-008	1.4421e-007
179.07	1.5241e-007	74.11	4.1729e-008	1.4659e-007
182.41	1.5514e-007	73.815	4.3244e-008	1.4899e-007
185.81	1.5791e-007	73.514	4.4811e-008	1.5142e-007
189.28	1.6072e-007	73.208	4.6433e-008	1.5387e-007
192.81	1.6358e-007	72.896	4.811e-008	1.5635e-007
196.41	1.6649e-007	72.579	4.9845e-008	1.5885e-007
200.08	1.6944e-007	72.256	5.1639e-008	1.6138e-007
203.82	1.7244e-007	71.928	5.3494e-008	1.6393e-007
207.62	1.7548e-007	71.593	5.5411e-008	1.665e-007
