Freq(hertz)	Xd(mm)
944.40  	0.001   
958.00  	0.001   
971.80  	0.001   
985.80  	0.001   
1000.00 	0.001   
1014.40 	0.001   
1029.02 	0.001   
1043.84 	0.001   
1058.88 	0.001   
1074.13 	0.000   
1089.60 	0.000   
1105.30 	0.000   
1121.22 	0.000   
1137.37 	0.000   
1153.75 	0.000   
1170.37 	0.000   
1187.23 	0.000   
1204.33 	0.000   
1221.68 	0.000   
1239.28 	0.000   
1257.13 	0.000   
1275.23 	0.000   
1293.60 	0.000   
1312.24 	0.000   
1331.14 	0.000   
1350.31 	0.000   
1369.76 	0.000   
1389.50 	0.000   
1409.51 	0.000   
1429.81 	0.000   
1450.41 	0.000   
1471.30 	0.000   
1492.50 	0.000   
1513.99 	0.000   
1535.80 	0.000   
1557.93 	0.000   
1580.37 	0.000   
1603.13 	0.000   
1626.22 	0.000   
1649.65 	0.000   
1673.41 	0.000   
1697.52 	0.000   
1721.97 	0.000   
1746.77 	0.000   
1771.93 	0.000   
1797.46 	0.000   
1823.35 	0.000   
1849.61 	0.000   
1876.26 	0.000   
1903.28 	0.000   
1930.70 	0.000   
1958.51 	0.000   
1986.72 	0.000   
2015.34 	0.000   
2044.37 	0.000   
2073.82 	0.000   
2103.69 	0.000   
2133.99 	0.000   
2164.73 	0.000   
2195.91 	0.000   
2227.54 	0.000   
2259.63 	0.000   
2292.18 	0.000   
2325.20 	0.000   
2358.69 	0.000   
2392.67 	0.000   
2427.13 	0.000   
2462.09 	0.000   
2497.56 	0.000   
2533.53 	0.000   
2570.03 	0.000   
2607.05 	0.000   
2644.60 	0.000   
2682.70 	0.000   
2721.34 	0.000   
2760.54 	0.000   
2800.30 	0.000   
2840.64 	0.000   
2881.56 	0.000   
2923.07 	0.000   
2965.17 	0.000   
3007.88 	0.000   
3051.21 	0.000   
3095.16 	0.000   
3139.75 	0.000   
3184.97 	0.000   
3230.85 	0.000   
3277.39 	0.000   
3324.60 	0.000   
3372.49 	0.000   
3421.07 	0.000   
3470.35 	0.000   
3520.33 	0.000   
3571.04 	0.000   
3622.48 	0.000   
3674.66 	0.000   
3727.59 	0.000   
3781.29 	0.000   
3835.76 	0.000   
3891.01 	0.000   
3947.06 	0.000   
4003.91 	0.000   
4061.59 	0.000   
4120.09 	0.000   
4179.44 	0.000   
4239.64 	0.000   
4300.71 	0.000   
4362.66 	0.000   
4425.50 	0.000   
4489.25 	0.000   
4553.92 	0.000   
4619.51 	0.000   
4686.06 	0.000   
4753.56 	0.000   
4822.03 	0.000   
4891.49 	0.000   
4961.95 	0.000   
5033.42 	0.000   
5105.93 	0.000   
5179.47 	0.000   
5254.08 	0.000   
5329.77 	0.000   
5406.54 	0.000   
5484.42 	0.000   
5563.42 	0.000   
5643.56 	0.000   
5724.85 	0.000   
5807.31 	0.000   
5890.96 	0.000   
5975.82 	0.000   
6061.90 	0.000   
6149.22 	0.000   
6237.79 	0.000   
6327.65 	0.000   
6418.79 	0.000   
6511.25 	0.000   
6605.04 	0.000   
6700.19 	0.000   
6796.70 	0.000   
6894.60 	0.000   
6993.92 	0.000   
7094.66 	0.000   
7196.86 	0.000   
7300.52 	0.000   
7405.68 	0.000   
7512.36 	0.000   
7620.57 	0.000   
7730.34 	0.000   
7841.69 	0.000   
7954.65 	0.000   
8069.23 	0.000   
8185.47 	0.000   
8303.38 	0.000   
8422.98 	0.000   
8544.31 	0.000   
8667.39 	0.000   
8792.24 	0.000   
8918.88 	0.000   
9047.36 	0.000   
9177.68 	0.000   
9309.88 	0.000   
9443.98 	0.000   
9580.02 	0.000   
9718.02 	0.000   
9858.00 	0.000   
10000.00	0.000   
10144.05	0.000   
10290.17	0.000   
10438.39	0.000   
10588.75	0.000   
10741.28	0.000   
10896.00	0.000   
11052.95	0.000   
11212.16	0.000   
11373.67	0.000   
11537.50	0.000   
11703.69	0.000   
11872.28	0.000   
12043.30	0.000   
12216.77	0.000   
12392.75	0.000   
12571.26	0.000   
12752.35	0.000   
12936.04	0.000   
13122.37	0.000   
13311.40	0.000   
13503.14	0.000   
13697.65	0.000   
13894.95	0.000   
14095.11	0.000   
14298.14	0.000   
14504.10	0.000   
14713.02	0.000   
14924.96	0.000   
15139.94	0.000   
15358.03	0.000   
15579.25	0.000   
15803.66	0.000   
16031.31	0.000   
16262.23	0.000   
16496.48	0.000   
16734.10	0.000   
16975.15	0.000   
17219.67	0.000   
17467.71	0.000   
17719.33	0.000   
17974.56	0.000   
18233.48	0.000   
18496.12	0.000   
18762.55	0.000   
19032.82	0.000   
19306.98	0.000   
19585.09	0.000   
19867.20	0.000   
20000.00	0.000   
