Freq (hertz)	SPL (dB)	WPhase (deg)
204.44  	97.73   	10.52   
207.38  	97.74   	9.67    
210.37  	97.74   	8.82    
213.40  	97.75   	7.97    
216.47  	97.75   	7.12    
219.59  	97.75   	6.28    
222.75  	97.75   	5.44    
225.96  	97.74   	4.60    
229.22  	97.74   	3.76    
232.52  	97.73   	2.93    
235.87  	97.73   	2.09    
239.27  	97.72   	1.26    
242.71  	97.71   	0.43    
246.21  	97.69   	-0.39   
249.76  	97.68   	-1.22   
253.35  	97.67   	-2.04   
257.00  	97.65   	-2.85   
260.70  	97.63   	-3.67   
264.46  	97.61   	-4.48   
268.27  	97.59   	-5.29   
272.13  	97.57   	-6.10   
276.05  	97.55   	-6.90   
280.03  	97.52   	-7.70   
284.06  	97.49   	-8.49   
288.16  	97.47   	-9.29   
292.31  	97.44   	-10.08  
296.52  	97.41   	-10.86  
300.79  	97.37   	-11.64  
305.12  	97.34   	-12.42  
309.52  	97.31   	-13.20  
313.97  	97.27   	-13.97  
318.50  	97.23   	-14.73  
323.08  	97.20   	-15.50  
327.74  	97.16   	-16.26  
332.46  	97.11   	-17.01  
337.25  	97.07   	-17.76  
342.11  	97.03   	-18.51  
347.03  	96.98   	-19.25  
352.03  	96.94   	-19.99  
357.10  	96.89   	-20.73  
362.25  	96.84   	-21.46  
367.47  	96.79   	-22.18  
372.76  	96.74   	-22.90  
378.13  	96.69   	-23.62  
383.58  	96.64   	-24.33  
389.10  	96.58   	-25.04  
394.71  	96.53   	-25.75  
400.39  	96.47   	-26.45  
406.16  	96.41   	-27.14  
412.01  	96.35   	-27.83  
417.94  	96.29   	-28.52  
423.96  	96.23   	-29.20  
430.07  	96.17   	-29.88  
436.27  	96.11   	-30.55  
442.55  	96.05   	-31.22  
448.93  	95.98   	-31.88  
455.39  	95.91   	-32.54  
461.95  	95.85   	-33.20  
468.61  	95.78   	-33.85  
475.36  	95.71   	-34.50  
482.20  	95.64   	-35.14  
489.15  	95.57   	-35.78  
496.19  	95.50   	-36.41  
503.34  	95.43   	-37.04  
510.59  	95.35   	-37.67  
517.95  	95.28   	-38.29  
525.41  	95.21   	-38.91  
532.98  	95.13   	-39.52  
540.65  	95.05   	-40.13  
548.44  	94.97   	-40.74  
556.34  	94.90   	-41.34  
564.36  	94.82   	-41.93  
572.48  	94.74   	-42.53  
580.73  	94.66   	-43.12  
589.10  	94.57   	-43.70  
597.58  	94.49   	-44.28  
606.19  	94.41   	-44.86  
614.92  	94.32   	-45.43  
623.78  	94.24   	-46.00  
632.76  	94.15   	-46.57  
641.88  	94.06   	-47.13  
651.13  	93.97   	-47.69  
660.50  	93.89   	-48.24  
670.02  	93.80   	-48.79  
679.67  	93.71   	-49.34  
689.46  	93.61   	-49.88  
699.39  	93.52   	-50.42  
709.47  	93.43   	-50.95  
719.69  	93.33   	-51.48  
730.05  	93.24   	-52.01  
740.57  	93.14   	-52.53  
751.24  	93.05   	-53.05  
762.06  	92.95   	-53.56  
773.03  	92.85   	-54.07  
784.17  	92.75   	-54.57  
795.47  	92.65   	-55.07  
806.92  	92.55   	-55.57  
818.55  	92.45   	-56.06  
830.34  	92.35   	-56.54  
842.30  	92.24   	-57.02  
854.43  	92.14   	-57.50  
866.74  	92.03   	-57.97  
879.22  	91.93   	-58.43  
891.89  	91.82   	-58.89  
904.74  	91.71   	-59.34  
917.77  	91.60   	-59.79  
930.99  	91.49   	-60.23  
944.40  	91.38   	-60.67  
958.00  	91.27   	-61.10  
971.80  	91.16   	-61.52  
985.80  	91.05   	-61.94  
1000.00 	90.94   	-62.35  
1014.40 	90.82   	-62.75  
1029.02 	90.71   	-63.15  
1043.84 	90.60   	-63.54  
1058.88 	90.48   	-63.92  
1074.13 	90.37   	-64.30  
1089.60 	90.25   	-64.67  
1105.30 	90.13   	-65.03  
1121.22 	90.02   	-65.39  
1137.37 	89.90   	-65.74  
1153.75 	89.78   	-66.08  
1170.37 	89.67   	-66.42  
1187.23 	89.55   	-66.75  
1204.33 	89.43   	-67.08  
1221.68 	89.31   	-67.40  
1239.28 	89.19   	-67.71  
1257.13 	89.08   	-68.02  
1275.23 	88.96   	-68.32  
1293.60 	88.84   	-68.62  
1312.24 	88.72   	-68.91  
1331.14 	88.60   	-69.19  
1350.31 	88.49   	-69.48  
1369.76 	88.37   	-69.76  
1389.50 	88.25   	-70.03  
1409.51 	88.13   	-70.30  
1429.81 	88.02   	-70.57  
1450.41 	87.90   	-70.83  
1471.30 	87.78   	-71.09  
1492.50 	87.66   	-71.35  
1513.99 	87.54   	-71.61  
1535.80 	87.43   	-71.86  
1557.93 	87.31   	-72.11  
1580.37 	87.19   	-72.36  
1603.13 	87.07   	-72.61  
1626.22 	86.95   	-72.85  
1649.65 	86.84   	-73.10  
1673.41 	86.72   	-73.34  
1697.52 	86.60   	-73.58  
1721.97 	86.48   	-73.81  
1746.77 	86.36   	-74.05  
1771.93 	86.24   	-74.28  
1797.46 	86.12   	-74.51  
1823.35 	86.00   	-74.73  
1849.61 	85.88   	-74.96  
1876.26 	85.76   	-75.18  
1903.28 	85.64   	-75.39  
1930.70 	85.51   	-75.60  
1958.51 	85.39   	-75.81  
1986.72 	85.27   	-76.02  
2015.34 	85.15   	-76.22  
2044.37 	85.03   	-76.41  
2073.82 	84.90   	-76.61  
2103.69 	84.78   	-76.80  
2133.99 	84.66   	-76.98  
2164.73 	84.54   	-77.16  
2195.91 	84.41   	-77.34  
2227.54 	84.29   	-77.51  
2259.63 	84.17   	-77.69  
2292.18 	84.05   	-77.86  
2325.20 	83.93   	-78.02  
2358.69 	83.80   	-78.19  
2392.67 	83.68   	-78.35  
2427.13 	83.56   	-78.51  
2462.09 	83.44   	-78.67  
